gesture_name,count,mean_ms,median_ms,min_ms,max_ms,std_ms
POWER,2,509.4398275015992,509.4398275015992,301.8814540046151,716.9982009985833,207.55837349698413
OPEN,5,426.60438919883455,424.3655060005258,305.7629769965424,543.7949579988488,88.14112513401656
FLEXION,5,596.9260629992699,601.4353180067262,577.4867059944664,604.0883879969479,9.863749361900663
EXTENSION,5,331.87959840134704,343.4846099973075,253.76605600095337,379.5173120010293,42.172195528747466
ALL,17,458.58411223532084,424.3655060005258,253.76605600095337,716.9982009985833,137.334488934683
