sample_index,stamp,residual_x_m,residual_y_m,residual_z_m,residual_roll_rad,residual_pitch_rad,residual_yaw_rad,translation_residual_m,rotation_residual_deg,arm_before_dt_s,arm_after_dt_s,arm_alpha,head_id2_reprojection_error_px,head_id2_distance_m,head_id2_view_angle_deg
1,1779374890.422456503,-0.00356861658,-0.012911653,0.007343972,0.0123347019,-0.0331185659,-0.0184806301,0.015276771,2.28503008,0.00618600845,0.0271918774,0.185332543,0.308704863,0.878518555,21.6904805
2,1779374890.489174366,-0.0063308538,-0.00572220137,-0.0048747904,0.0192589503,-0.0415481961,-0.000651147924,0.00982786242,2.62411152,0.0395259857,0.0272305012,0.592092058,0.308569195,0.875556434,21.5656565
3,1779374890.522532940,-0.00203897096,-0.00132765329,-0.000718023755,0.0140157465,-2.32752862e-05,-0.00141939469,0.00253685316,0.807151684,0.00612807274,0.0272500515,0.18359548,0.199258202,0.88575056,20.7516442
4,1779374890.589250803,-0.00384411971,-0.00357372848,-0.00871921808,0.0031975627,0.00306432535,-0.00745913672,0.0101771094,0.497032937,0.00608944893,0.0272891521,0.182435714,0.384653918,0.88450076,19.5797279
5,1779374890.622609615,-0.00315410628,-0.00425785287,-0.00397965858,0.00718308101,-0.010495299,-0.00808851166,0.00662686803,0.863574898,0.00606966019,0.0273091793,0.181841558,0.288892129,0.884082916,19.8013046
6,1779374890.655968428,-0.00167768333,-0.00553976844,-0.00535303294,0.017820224,0.00748167753,-0.00758597985,0.00788407365,1.18960579,0.00604963303,0.027328968,0.181242857,0.137634101,0.886149519,20.3108111
7,1779374890.689327240,-0.00244354601,-0.00426722282,-0.00564084797,0.021163525,-0.000130392595,-0.00709201949,0.00748326623,1.27887534,0.00602984428,0.0273489952,0.18064871,0.137091619,0.885365571,20.2870849
8,1779374890.722686052,-0.000905598281,-0.00401788949,-0.00625819867,0.0235408717,-0.00844265398,-0.0092740833,0.00749190195,1.52826186,0.00600981712,0.0273690224,0.180048714,0.136619805,0.884581639,20.2639238
9,1779374890.756044865,0.00208838762,-0.00440741522,0.00171300605,-0.00128331675,0.0215978113,-0.00559443113,0.00516924187,1.28041648,0.00598978996,0.0273895264,0.179446155,0.160659615,0.891732148,19.1291041
10,1779374890.822762728,-0.000947305496,-0.00583948451,-0.00508859841,0.00156435982,-0.0190590048,-0.0046048045,0.00780325578,1.12699081,0.0393283367,0.0274300575,0.58911448,0.106990599,0.88149029,19.207608
11,1779374890.856121540,0.00275001055,-0.000657543881,0.00309987761,0.00193499687,0.00995424429,0.00390815519,0.00419573154,0.622667981,0.00592875481,0.0274507999,0.177616354,0.232146597,0.890300341,19.1646036
12,1779374890.922839403,0.000618596438,-0.00197087858,-0.00420864345,0.00583829685,-0.0341307473,0.00127483524,0.00468825166,1.98529572,0.00588774681,0.0274918079,0.176387817,0.107980921,0.880715381,19.1862303
13,1779374890.956198215,-0.00037207262,-0.00283674406,-0.000713708362,0.00619778566,-0.0053240703,0.00184702634,0.00294871744,0.479951865,0.00586700439,0.0275130272,0.175763896,0.330801786,0.881818884,19.3574775
14,1779374890.989556789,0.000869085795,-0.000878598822,-0.000410890584,0.0241465883,0.0145885319,-0.00314206767,0.00130233524,1.62638849,0.00584554672,0.0275342464,0.175122317,0.516428033,0.884645117,20.4316707
15,1779374891.022917747,0.0010776411,-0.000733487767,-0.000612672241,0.0185081632,0.000115570885,-0.000253269912,0.00144037562,1.0605596,0.00582671165,0.0275530815,0.174558051,0.0383699113,0.883522534,19.9905283
16,1779374891.089629650,-0.000465737625,-0.00269537879,-0.00319148631,0.009241025,-0.0192703359,0.00491808462,0.00420328006,1.25650304,0.0391588211,0.0276014805,0.586558481,0.32571276,0.880107379,19.3553845
17,1779374891.122985840,0.000718549612,-0.00212357429,-0.00248265972,0.0181265896,-0.00918247889,-0.0016293187,0.0033450681,1.16797113,0.00575470924,0.0276257992,0.172397292,0.030548493,0.881780813,19.9872583
18,1779374891.189697742,0.00104994544,-5.2283095e-05,-0.00969577352,0.00378916443,0.00947880008,0.00286499845,0.00975259674,0.607480199,0.00570583344,0.0276985168,0.170811089,0.309555775,0.87974138,19.2547026
19,1779374891.223053694,0.000939559869,0.000634958832,-0.00636964607,-0.0129716315,-0.0166731065,0.00609877202,0.00646980189,1.25979169,0.00565743446,0.0276947021,0.169627347,0.102393924,0.878767455,18.1502043
20,1779374891.256409645,0.0013913492,0.000888013023,-0.00365366588,-0.00407875395,0.00341248977,0.00785078548,0.00400920118,0.543302234,0.00566124916,0.0276904106,0.169744151,0.183082111,0.880851194,18.9033223
21,1779374891.289765358,-0.00328023395,-0.0022930862,-0.0104260481,0.0217459426,-0.0465540198,0.00668054943,0.0111678403,2.96877987,0.00566530228,0.0276868343,0.169863249,0.0766101966,0.870917171,19.9290379
22,1779374891.323121309,0.000560093218,-4.24587463e-05,-0.00291013411,0.00176939165,-0.00888569248,0.00485978301,0.00296384677,0.589071305,0.00566911697,0.0276825428,0.169980055,0.305090564,0.878799716,19.2826977
23,1779374891.356477261,0.000551019559,0.00133568219,-0.00493054225,0.00361493321,-0.00576301714,0.00750880185,0.00513789026,0.580534381,0.00567340851,0.0276782513,0.170108731,0.305090564,0.878799716,19.2826977
24,1779374891.389832973,0.00141367391,8.44190127e-05,-0.000235240176,0.0188494527,0.0109467886,-0.0031671076,0.00143559689,1.26202278,0.00567746162,0.0276744366,0.17022904,0.358756134,0.881367923,20.5323427
