gesture_name,count,mean_ms,median_ms,min_ms,max_ms,std_ms
POWER,5,1769.4180922005557,834.347103998414,524.8761710014369,3490.7323560011573,1367.5405747618438
OPEN,5,565.1402129992724,547.032808998483,480.1766020014182,673.1971289978245,64.9419512424375
FLEXION,5,582.0943736012674,578.946346001001,557.560372998938,604.3214940032628,15.607361836839106
EXTENSION,5,528.891095000261,592.9334230016976,312.66300299949944,599.5487980017496,110.29838430179521
ALL,20,861.3859434503393,592.3632845020766,312.66300299949944,3490.7323560011573,864.2387582698491
