trial_id,gesture_label,gesture_name,repeat_index,cue_time_s,end_time_s,status,onset_sample_index,onset_time_s,prediction_frame_index,prediction_time_s,prediction_window_start_sample,prediction_window_end_sample,latency_ms,threshold,notes
power_01,1,POWER,1,3.0,8.01138473500032,ok,1437,2.880074091999064,32,3.404950263000501,1600,1700,524.8761710014369,19.44973791882607,
power_02,1,POWER,2,3.0,12.1156609009995,ok,1557,3.1173605719985207,64,6.608092927999678,3200,3300,3490.7323560011573,26.851928149252267,
power_03,1,POWER,3,3.0,4.906219691998558,ok,1530,3.0705223619993487,37,3.9048694659977627,1850,1950,834.347103998414,27.151075022832224,
power_04,1,POWER,4,3.0,7.605419627001538,ok,1608,3.2171240750016006,64,6.60487329100215,3200,3300,3387.7492160005495,33.050071735251166,
power_05,1,POWER,5,3.0,5.406494792998274,ok,1244,2.4955824679984655,29,3.1049680819996865,1450,1550,609.385614001221,36.73036250278846,
open_01,2,OPEN,1,3.0,5.105272953998792,ok,1310,2.6287149350004912,31,3.3019120639983157,1550,1650,673.1971289978245,22.344831641068932,
open_02,2,OPEN,2,3.0,4.207246306999878,ok,1324,2.6582696790021147,30,3.205302488000598,1500,1600,547.032808998483,22.200918176758357,
open_03,2,OPEN,3,3.0,4.502279992000695,ok,1453,2.9083268159998696,33,3.5014032189974387,1650,1750,593.0764029975691,24.332635375404678,
open_04,2,OPEN,4,3.0,4.204538157999195,ok,1334,2.671305449998472,30,3.20352357199954,1500,1600,532.2181220010677,24.016538380831854,
open_05,2,OPEN,5,3.0,4.604413265999028,ok,1510,3.0233807919989633,33,3.5035573940003815,1650,1750,480.1766020014182,26.279836613514235,
flexion_01,3,FLEXION,1,3.0,4.30646513100146,ok,1354,2.714589988998487,31,3.3063831350009423,1550,1650,591.7931460024555,25.53977274352007,
flexion_02,3,FLEXION,2,3.0,4.502891211999668,ok,1460,2.922548480998987,33,3.5014948269999877,1650,1750,578.946346001001,30.15970208155266,
flexion_03,3,FLEXION,3,3.0,4.303541055000096,ok,1360,2.724970369997638,31,3.302820878998318,1550,1650,577.8505090006801,29.08597853573752,
flexion_04,3,FLEXION,4,3.0,5.709329654997418,ok,1371,2.7480426049992674,31,3.3056029779982055,1550,1650,557.560372998938,27.750626441613605,
flexion_05,3,FLEXION,5,3.0,4.405738991001272,ok,1398,2.8009702579988227,32,3.4052917520020856,1600,1700,604.3214940032628,24.56270587324995,
extension_01,4,EXTENSION,1,3.0,4.304395934999775,ok,1353,2.7095039149977382,31,3.302437337999436,1550,1650,592.9334230016976,28.20357044383666,
extension_02,4,EXTENSION,2,3.0,4.304534626000532,ok,1350,2.704809280001384,31,3.3043580780031334,1550,1650,599.5487980017496,29.99548103093819,
extension_03,4,EXTENSION,3,3.0,7.303933249000693,ok,1593,3.18544947000072,33,3.4981124730002193,1650,1750,312.66300299949944,20.99882937856995,
extension_04,4,EXTENSION,4,3.0,4.4055852829988,ok,1400,2.8056377820011695,32,3.404074299000058,1600,1700,598.4365169988886,33.62204653110574,
extension_05,4,EXTENSION,5,3.0,4.303892211999482,ok,1379,2.761655358998687,31,3.3025290929981566,1550,1650,540.8737339994696,31.07151112403778,
