gesture_name,count,mean_ms,median_ms,min_ms,max_ms,std_ms
POWER,5,2538.900709800422,1809.3530530010464,1454.921767999942,5093.1708559994,1325.6763952127592
OPEN,5,1892.6038988002517,1385.8352580002102,1348.9833469990988,2930.878937999456,660.212715680553
FLEXION,5,1449.167276000348,1453.6052380009496,1409.9485680000798,1483.9425439987099,28.112585025579747
EXTENSION,5,1704.585925799358,1360.1263560003715,1286.091120001569,3179.9056999984023,739.031041922312
ALL,20,1896.314452600095,1454.2635030004458,1286.091120001569,5093.1708559994,920.582319080526
