trial_id,gesture_label,gesture_name,repeat_index,cue_time_s,end_time_s,status,onset_sample_index,onset_time_s,prediction_frame_index,prediction_time_s,prediction_window_start_sample,prediction_window_end_sample,latency_ms,threshold,notes
power_01,1,POWER,1,3.0,5.405715858003532,ok,1560,3.123295027000015,36,3.8030254379991675,1800,1900,679.7304109991527,23.85893263234894,
power_02,1,POWER,2,3.0,6.009453261998715,ok,1464,2.938551977000025,31,3.303607849004038,1550,1650,365.05587200401334,46.24636127344925,
power_03,1,POWER,3,3.0,9.72042228999635,ok,1508,3.0222839319998167,49,5.108783135001431,2450,2550,2086.4992030016147,73.23268306667931,
power_04,1,POWER,4,3.0,4.507120248999854,ok,1369,2.7438300560001516,30,3.203796401001455,1500,1600,459.9663450013032,54.02775668232717,
power_05,1,POWER,5,3.0,6.011665661004372,ok,1488,2.982193428998406,31,3.3062105729986797,1550,1650,324.0171440002739,45.33909125700828,
open_01,2,OPEN,1,3.0,18.030160137001076,timeout,1553,3.1085089209997094,36,3.807132365000143,1800,1900,698.6234440004338,34.16016303888178,
