trial_id,gesture_label,gesture_name,repeat_index,cue_time_s,end_time_s,status,onset_sample_index,onset_time_s,prediction_frame_index,prediction_time_s,prediction_window_start_sample,prediction_window_end_sample,latency_ms,threshold,notes
power_01,1,POWER,1,3.0,4.206249116003164,ok,1490,2.985205467000953,30,3.2041682959970785,1500,1600,218.9628289961254,71.6057518132477,
power_02,1,POWER,2,3.0,4.205470555003558,ok,1439,2.8825575250052498,30,3.20300775400392,1500,1600,320.45022899867035,65.56328455321638,
power_03,1,POWER,3,3.0,5.110724599995592,ok,1475,2.958060815001547,31,3.305881266001961,1550,1650,347.8204510004144,57.186539709738085,
power_04,1,POWER,4,3.0,5.609563862999494,ok,1609,3.2256577050010673,33,3.5059719040000346,1650,1750,280.31419899896724,66.91924117739215,
power_05,1,POWER,5,3.0,4.209250300002168,ok,1452,2.9124655780006434,30,3.206274910000502,1500,1600,293.8093319998587,50.93556250138046,
open_01,2,OPEN,1,3.0,18.037202137005806,timeout,1426,2.858143762003514,34,3.606133747001877,1700,1800,747.9899849983628,48.18120226322152,
open_02,2,OPEN,2,3.0,5.309653682001226,ok,1358,2.7216958759985284,29,3.1046810599946184,1450,1550,382.98518399609003,42.27225052705213,
open_03,2,OPEN,3,3.0,5.3110749070037855,ok,1532,3.072345521999174,33,3.507172810997872,1650,1750,434.8272889986982,40.741207414549876,
open_04,2,OPEN,4,3.0,4.205570218000503,ok,1383,2.7709630910023115,30,3.2035185979984817,1500,1600,432.55550699617015,48.00349780375696,
open_05,2,OPEN,5,3.0,4.307576284998504,ok,1432,2.870358670995862,31,3.304637200999423,1550,1650,434.278530003561,42.59188560922571,
flexion_01,3,FLEXION,1,3.0,9.216873676996329,ok,1427,2.8588958929993677,31,3.304690038996341,1550,1650,445.79414599697344,39.51725780361367,
flexion_02,3,FLEXION,2,3.0,4.20583838300081,ok,1416,2.8360338810005343,30,3.2035247040039394,1500,1600,367.49082300340507,47.053554032679386,
flexion_03,3,FLEXION,3,3.0,4.208536621998064,ok,1420,2.848103172004805,30,3.207074288999138,1500,1600,358.9711169943328,42.49370630787238,
flexion_04,3,FLEXION,4,3.0,4.208109323997633,ok,1446,2.9001200020005347,30,3.2060354900022503,1500,1600,305.91548800171563,42.977341433668755,
flexion_05,3,FLEXION,5,3.0,6.914488996000728,ok,1505,3.0187409419993054,32,3.406639599998016,1600,1700,387.89865799871046,41.97204163142666,
extension_01,4,EXTENSION,1,3.0,4.709665982998558,ok,1481,2.9694875970017747,32,3.4068014470030903,1600,1700,437.31385000131564,33.03069074331618,
extension_02,4,EXTENSION,2,3.0,4.306680936002522,ok,1485,2.9765196720020612,31,3.3044916770013515,1550,1650,327.9720049992902,53.82619286095481,
extension_03,4,EXTENSION,3,3.0,5.109637002002273,ok,1475,2.96273640800314,31,3.3058725090013468,1550,1650,343.1361009982066,54.57099382301895,
extension_04,4,EXTENSION,4,3.0,4.305386041996826,ok,1497,2.9985885220020427,31,3.303993232999346,1550,1650,305.4047109973035,51.101807336360466,
extension_05,4,EXTENSION,5,3.0,4.30749048099824,ok,1489,2.9847742989991093,31,3.306453758996213,1550,1650,321.67945999710355,65.8527069560539,
