gesture_name,count,mean_ms,median_ms,min_ms,max_ms,std_ms
POWER,5,292.27140799880715,293.8093319998587,218.9628289961254,347.8204510004144,43.35719073931805
OPEN,5,486.5272989985764,434.278530003561,382.98518399609003,747.9899849983628,132.21156150416198
FLEXION,5,373.2140463990275,367.49082300340507,305.91548800171563,445.79414599697344,45.27299628233371
EXTENSION,5,347.10122539864386,327.9720049992902,305.4047109973035,437.31385000131564,46.70081881863039
ALL,20,374.7784946987637,353.3957839973736,218.9628289961254,747.9899849983628,104.46775460331172
